Age,Prof_Exp,Data_Skills,PostSec_Educ,Salary_Range
29,6,5,10,2
45,21,2,9,2
29,12,10,10,1
32,4,2,10,1
56,13,3,8,0
23,2,4,6,1
27,2,2,6,2
29,8,1,10,0
55,3,3,8,2
49,19,7,6,0
47,9,3,9,1
42,9,1,10,0
45,11,5,10,2
22,2,4,6,2
29,7,9,7,1
66,34,6,9,2
49,0,10,9,2
43,20,7,8,1
23,2,4,7,1
54,25,1,8,2
32,9,7,8,2
30,10,1,5,1
33,7,9,5,0
30,2,7,6,2
37,7,4,5,2
34,8,9,6,1
50,12,2,7,2
35,12,1,7,1
61,0,7,9,0
38,11,5,9,1
23,3,6,9,1
38,16,2,9,2
44,14,4,7,0
24,1,5,5,1
46,21,10,7,1
39,7,10,10,0
26,6,3,9,2
62,21,10,9,1
65,14,1,8,2
60,40,3,9,2
38,1,6,10,0
34,12,9,9,2
23,3,1,5,2
25,2,7,9,0
51,34,10,7,0
44,7,6,8,2
44,18,10,10,0
42,6,3,10,1
27,3,3,7,2
35,9,10,5,0
52,26,10,10,2
45,1,6,9,0
41,20,9,5,2
56,8,4,7,0
33,3,8,5,1
45,20,8,9,2
40,19,8,5,2
43,17,9,6,2
35,12,8,8,2
43,19,5,6,2
45,17,5,7,2
30,8,8,6,1
30,8,10,8,0
59,24,10,6,1
31,4,5,7,0
39,12,5,7,0
49,27,4,7,2
62,19,9,8,2
63,34,6,10,2
45,4,2,10,1
62,35,5,8,0
63,14,3,7,2
42,13,4,7,2
22,1,7,8,1
47,26,10,5,0
50,20,10,7,1
53,28,1,8,1
31,9,7,10,0
50,29,10,9,0
35,6,7,6,2
58,17,1,6,2
52,9,3,6,0
46,24,4,7,0
50,20,1,6,0
54,22,9,5,2
60,30,10,8,1
48,25,6,7,0
53,24,4,5,0
26,3,1,9,2
60,23,5,7,1
26,12,10,9,0
53,13,9,9,2
42,11,9,10,1
48,25,3,8,2
23,1,8,5,0
43,11,9,6,0
42,20,1,7,2
64,21,10,5,1
50,4,9,6,2
39,11,10,8,0
42,0,2,8,2
24,2,4,8,2
62,18,8,6,2
30,10,9,6,1
46,14,8,8,1
47,1,9,10,1
55,24,1,7,0
48,4,8,10,0
56,18,4,5,0
64,11,1,5,2
26,6,6,5,0
58,21,4,8,0
49,14,7,8,0
47,15,2,6,1
26,5,8,7,2
30,3,1,8,0
54,2,10,6,1
43,13,7,5,1
45,8,5,7,2
47,11,2,9,2
29,4,7,9,1
50,22,5,7,1
30,10,10,9,1
54,18,1,7,1
48,12,9,10,1
32,4,3,9,2
38,16,1,9,0
58,23,4,6,2
51,16,7,5,2
62,6,2,7,1
25,5,1,9,1
59,38,5,10,2
53,6,7,5,2
48,8,9,10,1
45,14,2,9,2
22,3,6,5,2
53,17,7,8,1
60,1,9,8,2
57,23,3,6,2
58,39,9,8,1
27,8,6,6,2
50,16,1,5,1
25,6,1,7,0
26,4,3,6,1
51,6,8,9,1
42,8,4,9,0
30,7,1,6,0
46,4,6,9,1
47,8,7,5,1
27,7,2,9,2
65,23,3,9,2
27,14,9,5,0
57,21,7,8,0
54,15,4,9,0
33,6,7,10,0
31,5,4,10,2
59,33,3,8,0
34,6,2,6,1
29,3,6,8,2
37,5,9,5,2
34,9,7,5,2
54,4,5,7,1
35,5,8,7,0
35,7,8,10,1
44,0,4,7,1
63,19,1,5,2
56,21,5,9,0
45,15,4,6,2
32,8,9,5,1
34,4,2,6,1
29,7,5,9,1
56,3,7,8,2
51,11,3,9,2
53,14,4,9,0
53,13,10,8,0
64,11,3,10,1
51,25,6,5,2
24,6,6,5,2
28,4,4,10,0
